stage,dataset_size,seed,normal_scenario,attack_type,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,attack_phase_count,attack_sequence_count
disjoint_hybrid_v8,10,43,normal_staggered,slow_credential_probe,29,0,0,0,31,1.0,0.48333333333333334,0.6516853932584269,0.0,0.0,0.9166666666666666,0.75,0.9166666666666666,3.0,60,12
disjoint_hybrid_v8,10,43,normal_staggered,session_replay_jitter,37,0,0,0,23,1.0,0.6166666666666667,0.7628865979381444,0.0,0.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,1.5,60,12
disjoint_hybrid_v8,10,43,normal_staggered,gradual_exfiltration,42,0,0,0,18,1.0,0.7,0.8235294117647058,0.0,0.0,1.0,1.0,0.9166666666666666,1.5,60,12
disjoint_hybrid_v8,10,43,normal_staggered,distributed_lateral_drift,27,0,0,0,13,1.0,0.675,0.8059701492537313,0.0,0.0,0.875,0.875,0.75,2.0,40,8
disjoint_hybrid_v8,10,43,normal_staggered,profile_poisoning_chain,36,0,0,0,24,1.0,0.6,0.7499999999999999,0.0,0.0,0.8333333333333334,0.75,0.8333333333333334,2.0,60,12
disjoint_hybrid_v8,10,43,normal_staggered,cookie_hijack_blend,37,0,0,0,23,1.0,0.6166666666666667,0.7628865979381444,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.5,60,12
disjoint_hybrid_v8,10,43,normal_staggered,distributed_password_spray,29,0,0,0,31,1.0,0.48333333333333334,0.6516853932584269,0.0,0.0,0.9166666666666666,0.75,0.9166666666666666,3.0,60,12
temporal_mlp_only_v8,10,43,normal_nat_burst,stealth_mimicry_ato,35,0,0,0,25,1.0,0.5833333333333334,0.7368421052631579,0.0,0.0,0.9166666666666666,0.8333333333333334,0.8333333333333334,3.0,60,12
temporal_mlp_only_v8,10,43,normal_nat_burst,slow_credential_probe,27,0,0,0,33,1.0,0.45,0.6206896551724138,0.0,0.0,1.0,0.6666666666666666,0.9166666666666666,3.0,60,12
temporal_mlp_only_v8,10,43,normal_nat_burst,session_replay_jitter,31,0,0,0,29,1.0,0.5166666666666667,0.6813186813186815,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,3.0,60,12
temporal_mlp_only_v8,10,43,normal_nat_burst,gradual_exfiltration,33,0,0,0,27,1.0,0.55,0.7096774193548387,0.0,0.0,0.9166666666666666,0.75,0.9166666666666666,3.0,60,12
temporal_mlp_only_v8,10,43,normal_nat_burst,distributed_lateral_drift,21,0,0,0,19,1.0,0.525,0.6885245901639345,0.0,0.0,0.875,0.875,0.75,3.0,40,8
temporal_mlp_only_v8,10,43,normal_nat_burst,profile_poisoning_chain,42,0,0,0,18,1.0,0.7,0.8235294117647058,0.0,0.0,1.0,1.0,1.0,2.0,60,12
temporal_mlp_only_v8,10,43,normal_nat_burst,cookie_hijack_blend,32,0,0,0,28,1.0,0.5333333333333333,0.6956521739130436,0.0,0.0,0.9166666666666666,0.9166666666666666,0.8333333333333334,2.5,60,12
temporal_mlp_only_v8,10,43,normal_nat_burst,distributed_password_spray,28,0,0,0,32,1.0,0.4666666666666667,0.6363636363636364,0.0,0.0,1.0,0.6666666666666666,1.0,3.0,60,12
disjoint_hybrid_v8,10,43,normal_nat_burst,stealth_mimicry_ato,39,0,0,0,21,1.0,0.65,0.787878787878788,0.0,0.0,0.9166666666666666,0.9166666666666666,0.8333333333333334,3.0,60,12
disjoint_hybrid_v8,10,43,normal_nat_burst,slow_credential_probe,34,0,0,0,26,1.0,0.5666666666666667,0.7234042553191489,0.0,0.0,1.0,0.6666666666666666,1.0,2.5,60,12
disjoint_hybrid_v8,10,43,normal_nat_burst,session_replay_jitter,35,0,0,0,25,1.0,0.5833333333333334,0.7368421052631579,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,3.0,60,12
disjoint_hybrid_v8,10,43,normal_nat_burst,gradual_exfiltration,36,0,0,0,24,1.0,0.6,0.7499999999999999,0.0,0.0,0.9166666666666666,0.75,0.9166666666666666,2.5,60,12
disjoint_hybrid_v8,10,43,normal_nat_burst,distributed_lateral_drift,21,0,0,0,19,1.0,0.525,0.6885245901639345,0.0,0.0,0.875,0.875,0.75,3.0,40,8
disjoint_hybrid_v8,10,43,normal_nat_burst,profile_poisoning_chain,45,0,0,0,15,1.0,0.75,0.8571428571428571,0.0,0.0,1.0,1.0,1.0,1.5,60,12
disjoint_hybrid_v8,10,43,normal_nat_burst,cookie_hijack_blend,35,0,0,0,25,1.0,0.5833333333333334,0.7368421052631579,0.0,0.0,0.9166666666666666,0.9166666666666666,0.8333333333333334,2.5,60,12
disjoint_hybrid_v8,10,43,normal_nat_burst,distributed_password_spray,34,0,0,0,26,1.0,0.5666666666666667,0.7234042553191489,0.0,0.0,1.0,0.6666666666666666,1.0,3.0,60,12
temporal_mlp_only_v8,10,44,normal_staggered,stealth_mimicry_ato,49,0,0,0,11,1.0,0.8166666666666667,0.8990825688073394,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,60,12
temporal_mlp_only_v8,10,44,normal_staggered,slow_credential_probe,33,0,0,0,27,1.0,0.55,0.7096774193548387,0.0,0.0,1.0,0.75,0.9166666666666666,2.0,60,12
temporal_mlp_only_v8,10,44,normal_staggered,session_replay_jitter,40,0,0,0,20,1.0,0.6666666666666666,0.8,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,60,12
temporal_mlp_only_v8,10,44,normal_staggered,gradual_exfiltration,53,0,0,0,7,1.0,0.8833333333333333,0.9380530973451328,0.0,0.0,1.0,1.0,1.0,1.0,60,12
temporal_mlp_only_v8,10,44,normal_staggered,distributed_lateral_drift,35,0,0,0,5,1.0,0.875,0.9333333333333333,0.0,0.0,1.0,1.0,0.875,1.0,40,8
temporal_mlp_only_v8,10,44,normal_staggered,profile_poisoning_chain,53,0,0,0,7,1.0,0.8833333333333333,0.9380530973451328,0.0,0.0,1.0,1.0,1.0,1.0,60,12
temporal_mlp_only_v8,10,44,normal_staggered,cookie_hijack_blend,41,0,0,0,19,1.0,0.6833333333333333,0.8118811881188119,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,60,12
temporal_mlp_only_v8,10,44,normal_staggered,distributed_password_spray,33,0,0,0,27,1.0,0.55,0.7096774193548387,0.0,0.0,1.0,0.8333333333333334,0.9166666666666666,2.5,60,12
disjoint_hybrid_v8,10,44,normal_staggered,stealth_mimicry_ato,51,0,0,0,9,1.0,0.85,0.9189189189189189,0.0,0.0,1.0,1.0,0.75,1.0,60,12
disjoint_hybrid_v8,10,44,normal_staggered,slow_credential_probe,39,0,0,0,21,1.0,0.65,0.787878787878788,0.0,0.0,1.0,0.8333333333333334,0.9166666666666666,2.0,60,12
disjoint_hybrid_v8,10,44,normal_staggered,session_replay_jitter,43,0,0,0,17,1.0,0.7166666666666667,0.8349514563106796,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,60,12
disjoint_hybrid_v8,10,44,normal_staggered,gradual_exfiltration,54,0,0,0,6,1.0,0.9,0.9473684210526316,0.0,0.0,1.0,1.0,1.0,1.0,60,12
disjoint_hybrid_v8,10,44,normal_staggered,distributed_lateral_drift,35,0,0,0,5,1.0,0.875,0.9333333333333333,0.0,0.0,1.0,1.0,0.875,1.0,40,8
